"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SVIG9A57","journalArticle","2024","Hashmi, E.; Yayilgan, S.Y.","Multi-class hate speech detection in the Norwegian language using FAST-RNN and multilingual fine-tuned transformers","Complex and Intelligent Systems","","21994536 (ISSN)","10.1007/s40747-024-01392-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188193309&doi=10.1007%2fs40747-024-01392-5&partnerID=40&md5=7fea2fc47e321857d8538505f569d87e","The growth of social networks has provided a platform for individuals with prejudiced views, allowing them to spread hate speech and target others based on their gender, ethnicity, religion, or sexual orientation. While positive interactions within diverse communities can considerably enhance confidence, it is critical to recognize that negative comments can hurt people’s reputations and well-being. This emergence emphasizes the need for more diligent monitoring and robust policies on these platforms to protect individuals from such discriminatory and harmful behavior. Hate speech is often characterized as an intentional act of aggression directed at a specific group, typically meant to harm or marginalize them based on certain aspects of their identity. Most of the research related to hate speech has been conducted in resource-aware languages like English, Spanish, and French. However, low-resource European languages, such as Irish, Norwegian, Portuguese, Polish, Slovak, and many South Asian, present challenges due to limited linguistic resources, making information extraction labor-intensive. In this study, we present deep neural networks with FastText word embeddings using regularization methods for multi-class hate speech detection in the Norwegian language, along with the implementation of multilingual transformer-based models with hyperparameter tuning and generative configuration. FastText outperformed other deep learning models when stacked with Bidirectional LSTM and GRU, resulting in the FAST-RNN model. In the concluding phase, we compare our results with the state-of-the-art and perform interpretability modeling using Local Interpretable Model-Agnostic Explanations to achieve a more comprehensive understanding of the model’s decision-making mechanisms. © The Author(s) 2024.","2024","2024-12-01 10:11:27","2024-12-15 09:36:37","","4535-4556","","3","10","","Complex Intell. Syst.","","","","","","","","English","","","Scopus","","","","Publisher: Springer International Publishing","","","","Deep Learning; Hate speech; Interpretability modeling; manual_BERT; manual_BERT_w_CNN; manual_FAST-RNN; manual_hate; manual_LIME; Natural language processing; Norwegian language; Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CC8ZV5WN","journalArticle","2024","Dobrojevic, M.; Jovanovic, L.; Babic, L.; Cajic, M.; Zivkovic, T.; Zivkovic, M.; Muthusamy, S.; Antonijevic, M.; Bacanin, N.","Cyberbullying Sexism Harassment Identification by Metaheurustics-Tuned eXtreme Gradient Boosting","Computers, Materials and Continua","","15462218 (ISSN)","10.32604/cmc.2024.054459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203859892&doi=10.32604%2fcmc.2024.054459&partnerID=40&md5=a24ea497740cc94ce7f73d665206de96","Cyberbullying is a form of harassment or bullying that takes place online or through digital devices like smart-phones, computers, or tablets. It can occur through various channels, such as social media, text messages, online forums, or gaming platforms. Cyberbullying involves using technology to intentionally harm, harass, or intimidate others and may take different forms, including exclusion, doxing, impersonation, harassment, and cyberstalking. Unfortunately, due to the rapid growth of malicious internet users, this social phenomenon is becoming more frequent, and there is a huge need to address this issue. Therefore, the main goal of the research proposed in this manuscript is to tackle this emerging challenge. A dataset of sexist harassment on Twitter, containing tweets about the harassment of people on a sexual basis, for natural language processing (NLP), is used for this purpose. Two algorithms are used to transform the text into a meaningful representation of numbers for machine learning (ML) input: Term frequency inverse document frequency (TF-IDF) and Bidirectional encoder representations from transformers (BERT). The well-known eXtreme gradient boosting (XGBoost) ML model is employed to classify whether certain tweets fall into the category of sexual-based harassment or not. Additionally, with the goal of reaching better performance, several XGBoost models were devised conducting hyperparameter tuning by metaheuristics. For this purpose, the recently emerging Coyote optimization algorithm (COA) was modified and adjusted to optimize the XGBoost model. Additionally, other cutting-edge metaheuristics approach for this challenge were also implemented, and rigid comparative analysis of the captured classification metrics (accuracy, Cohen kappa score, precision, recall, and F1-score) was performed. Finally, the best-generated model was interpreted by Shapley additive explanations (SHAP), and useful insights were gained about the behavioral patterns of people who perform social harassment. Copyright © 2024 The Authors. Published by Tech Science Press.","2024","2024-12-01 10:11:27","2024-12-14 19:02:11","","4997-5027","","3","80","","Comput. Mater. Continua","","","","","","","","English","","","Scopus","","","","Publisher: Tech Science Press","","","","Machine learning; Natural language processing systems; BERT; Bidirectional encoder representation from transformer; Natural languages; Computer crime; Adaptive boosting; Language processing; Natural language processing; NLP; Xgboost; XGBoost; Economic and social effects; Cyber bullying; Inverse problems; Tweets; TF-IDF; Coyote optimization algorithm; Heuristic algorithms; Heuristic methods; Inverse transforms; Metaheuristic; metaheuristics; online harassment and cyberbullying; Online harassment and cyberbullying; Optimization algorithms; Smartphones; Term frequencyinverse document frequency (TF-IDF); Text messaging; manual_SHAP; manual_sexism; manual_XGBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FEHTWPLU","journalArticle","2024","Men, X.; Mariano, V.Y.","Explainable Fake News Detection Based on BERT and SHAP Applied to COVID-19","International Journal of Modern Education and Computer Science","","20750161 (ISSN)","10.5815/ijmecs.2024.01.02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184467170&doi=10.5815%2fijmecs.2024.01.02&partnerID=40&md5=968c742aeedfa446d4c4f029c5a05aba","Fake news detection has become a significant research top in natural language processing. Since the outbreak of the covid-19 epidemic, a large amount of fake news about covid-19 has spread on social media, making the detection of fake news a challenging task. Applying deep learning models may improve predictions. However, their lack of explainability poses a challenge to their widespread adoption and use in practical applications. This work aims to design a deep learning framework for accurate and explainable prediction of covid-19 fake news. First, we choose BiLSTM as the base model and improve the classification performance of the BiLSTM model by incorporating BERT-based distillation. Then, a post-hoc interpretation method SHAP is used to explain the classification results of the model to improve the transparency of the model and increase people's confidence in the practical application. Finally, utilizing visual interpretation methods, such as significance plots, to analyze specific sample classification results for gaining insights into the key terms that influence the model’s decisions. Ablation experiments demonstrated the reliability of the explainable method. © 2024, Modern Education and Computer Science Press. All rights reserved.","2024","2024-12-01 10:11:27","2024-12-15 09:35:18","","11-22","","1","16","","Int. J. Mod. Educ. Comput. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Modern Education and Computer Science Press","","","","BERT; Covid-19; Explainability; Fake news; Knowledge Distillation; manual_BERT; manual_fake_news; manual_SHAP; SHAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJZZ8VW5","journalArticle","2024","Sharma, S.; Sharma, R.; Datta, A.","(Mis)leading the COVID-19 Vaccination Discourse on Twitter: An Exploratory Study of Infodemic Around the Pandemic","IEEE Transactions on Computational Social Systems","","2329924X (ISSN)","10.1109/TCSS.2022.3225216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144755761&doi=10.1109%2fTCSS.2022.3225216&partnerID=40&md5=3398ab1f994e8c81b94ce31cf5adc9e9","In this work, we collect a moderate-sized representative corpus of tweets (over 200 000) pertaining to COVID-19 vaccination spanning for a period of seven months (September 2020-March 2021). Following a transfer learning approach, we utilize a pretrained transformer-based XLNet model to classify tweets as misleading or nonmisleading and manually validate the results with random subsets of samples. We leverage this to study and contrast the characteristics of tweets in the corpus that are misleading in nature against non-misleading ones. This exploratory analysis enables us to design features such as sentiments, hashtags, nouns, and pronouns which can, in turn, be exploited for classifying tweets as (non-)misleading using various machine learning (ML) models in an explainable manner. Specifically, several ML models are employed for prediction, with up to 90% accuracy, with the importance of each feature is explained using SHAP Explainable AI (XAI) tool. While the thrust of this work is principally exploratory in nature to obtain insight on the online discourse on COVID-19 vaccination, we conclude the article by outlining how these insights provide the foundations for a more actionable approach to mitigate misinformation. We have made the curated data as well as the accompanying code available so that the research community at large can reproduce, compare against, or build upon this work. © 2014 IEEE.","2024","2024-12-01 10:11:27","2024-12-14 20:30:21","","352-362","","1","11","","IEEE Trans. Computat. Soc. Syst.","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","","","Fake news; Social media; Learning systems; Machine learning models; Social networking (online); Fake detection; Blogs; COVID-19; social media; Transformer; Vaccines; misinformation; Misinformation; explainable AI (XAI); Explainable AI (XAI); Exploratory studies; Learning approach; Transfer learning; manual_SHAP; manual_misinformation; manual_random_forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFJPX7MW","journalArticle","2024","Hashmi, E.; Yildirim Yayilgan, S.; Hameed, I.A.; Mudassar Yamin, M.; Ullah, M.; Abomhara, M.","Enhancing Multilingual Hate Speech Detection: From Language-Specific Insights to Cross-Linguistic Integration","IEEE Access","","21693536 (ISSN)","10.1109/ACCESS.2024.3452987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203525883&doi=10.1109%2fACCESS.2024.3452987&partnerID=40&md5=c91420a214124b1abf97ec77308af7ef","The rise of social media has enabled individuals with biased perspectives to spread hate speech, directing it toward individuals based on characteristics such as race, gender, religion, or sexual orientation. Constructive interactions in varied communities can greatly enhance self-esteem, yet it is vital to consider that adverse comments may affect individuals' social standing and emotional health. The crucial task of detecting and addressing this type of content is imperative for reducing its negative effects on communities and individuals alike. The rising occurrence highlights the urgency for enhanced methods and robust regulations on digital platforms to protect humans from such prejudicial and damaging conduct. Hate speech typically appears as a deliberate hostile action aimed at a particular group, often with the intent to demean or isolate them based on various facets of their identity. Research on hate speech predominantly targets resource-aware languages like English, German, and Chinese. Conversely, resource-limited languages, including European languages such as Italian, Spanish, and Portuguese, alongside Asian languages like Roman Urdu, Korean, and Indonesian, present obstacles. These challenges arise from a lack of linguistic resources, making the extraction of information a more strenuous task. This study is focused on the detection and improvement of multilingual hate speech detection across 13 different languages. To conduct a thorough analysis, we carried out a series of experiments that ranged from classical machine learning techniques and mainstream deep learning approaches to recent transformer-based methods. Through hyperparameter tuning, optimization techniques, and generative configurations, we achieved robust and generalized performance capable of effectively identifying hate speech across various dialects. Specifically, we achieved a notable enhancement in detection performance, with precision and recall metrics exceeding baseline models by up to 10% across several lesser-studied languages. Additionally, our work extends the capabilities of explainable AI within this context, offering deeper insights into model decisions, which is crucial for regulatory and ethical considerations in AI deployment. Our study presents substantial performance improvements across various datasets and languages through meticulous comparisons. For example, our model significantly outperformed existing benchmarks: it achieved F1-scores of 0.90 in German (GermEval-2018), up from the baseline score of 0.72, and 0.93 in German (GermEval-2021), a substantial increase from 0.58. Additionally, it scored 0.95 in Roman Urdu HS, surpassing the previous peak of 0.91. Furthermore, for mixed-language datasets such as Italian and English (AMI 2018), our accuracy rose dramatically from 0.59 to 0.96. These outcomes emphasize the robustness and versatility of our model, establishing a new standard for hate speech detection systems across diverse linguistic settings. © 2024 The Authors.","2024","2024-12-01 10:11:27","2024-12-14 19:20:54","","121507-121537","","","12","","IEEE Access","","","","","","","","English","","","Scopus","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","","","Explainable AI; Embeddings; Machine-learning; deep learning; Deep learning; Natural language processing systems; Natural languages; machine learning; Language processing; Natural language processing; Economic and social effects; Benchmarking; Transformer; Hate speech; natural language processing; word embedding; Word embedding; explainable AI; Adversarial machine learning; Speech enhancement; Contrastive Learning; Energy security; transformers; manual_LIME; manual_hate; manual_mBERT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEJW28T7","journalArticle","2024","Ansari, G.; Kaur, P.; Saxena, C.","Data Augmentation for Improving Explainability of Hate Speech Detection","Arabian Journal for Science and Engineering","","2193567X (ISSN)","10.1007/s13369-023-08100-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165014094&doi=10.1007%2fs13369-023-08100-4&partnerID=40&md5=fc57e8f3374ea5df5ef50d7808828204","The paper presents a novel data augmentation-based approach to develop explainable, deep learning models for hate speech detection. Hate speech is widely prevalent on online social media but difficult to detect automatically due to challenges of natural language processing and complexity of hate speech. Further, the decisions of the existing solutions possess constrained explainability since limited annotated data are available for training and testing of models. Therefore, this work proposes the use of text-based data augmentation for improving the performance and explainability of deep learning models. Techniques based on easy data augmentation, bidirectional encoder representations from transformers and back translation have been utilized for data augmentation. Convolutional neural networks and long short-term memory models are trained with augmented data and evaluated on two publicly available datasets for hate speech detection. Methods of LIME and integrated gradients are used to retrieve explanations of the deep learning models. A diagnostic study is conducted on test samples to check for improvement in the models as a result of the data augmentation. The experimental results verify that the proposed approach improves the explainability as well as the accuracy of hate speech detection. © King Fahd University of Petroleum & Minerals 2023.","2024","2024-12-01 10:11:26","2024-12-14 19:05:11","","3609-3621","","3","49","","Arab. J. Sci. Eng.","","","","","","","","English","","","Scopus","","","","Publisher: Institute for Ionics","","","","Explainable AI; LIME; Hate speech; Cyberbullying; Data augmentation; Integrated gradient; manual_LSTM; manual_LIME_w_integrated_gradients; manual_CNN; manual_hate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJP585CX","journalArticle","2024","Imbwaga, J.L.; Chittaragi, N.B.; Koolagudi, S.G.","Explainable hate speech detection using LIME","International Journal of Speech Technology","","13812416 (ISSN)","10.1007/s10772-024-10135-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202689010&doi=10.1007%2fs10772-024-10135-3&partnerID=40&md5=c50ee3cad8f39a9668a5c3fd6595984c","Free speech is essential, but it can conflict with protecting marginalized groups from harm caused by hate speech. Social media platforms have become breeding grounds for this harmful content. While studies exist to detect hate speech, there are significant research gaps. First, most studies used text data instead of other modalities such as videos or audio. Second, most studies explored traditional machine learning algorithms. However, due to the increase in complexities of computational tasks, there is need to employ complex techniques and methodologies. Third, majority of the research studies have either been evaluated using very few evaluation metrics or not statistically evaluated at all. Lastly, due to the opaque, black-box nature of the complex classifiers, there is need to use explainability techniques. This research aims to address these gaps by detecting hate speech in English and Kiswahili languages using videos manually collected from YouTube. The videos were converted to text and used to train various classifiers. The performance of these classifiers was evaluated using various evaluation and statistical measurements. The experimental results suggest that the random forest classifier achieved the highest results for both languages across all evaluation measurements compared to all classifiers used. The results for English language were: accuracy 98%, AUC 96%, precision 99%, recall 97%, F1 98%, specificity 98% and MCC 96% while the results for Kiswahili language were: accuracy 90%, AUC 94%, precision 93%, recall 92%, F1 94%, specificity 87% and MCC 75%. These results suggest that the random forest classifier is robust, effective and efficient in detecting hate speech in any language. This also implies that the classifier is reliable in detecting hate speech and other related problems in social media. However, to understand the classifiers’ decision-making process, we used the Local Interpretable Model-agnostic Explanations (LIME) technique to explain the predictions achieved by the random forest classifier. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","2024","2024-12-01 10:11:26","2024-12-14 19:50:18","","793-815","","3","27","","Int J Speech Technol","","","","","","","","English","","","Scopus","","","","Publisher: Springer","","","","Machine learning; Speech recognition; BERT; Decision trees; Random forests; Economic and social effects; Hate speech; Speech detection; Explainable AI (XAI); Local interpretable model-agnostic explanation; Local Interpretable Model-agnostic Explanations (LIME); Free speech; GPT-J-6b; GPT-J-6B; Kiswahili; Kiswahilus; Random forest classifier; Whisper AI; manual_BERT; manual_LIME; manual_hate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EFC3X2D","journalArticle","2024","Mazhar, K.; Dwivedi, P.","Decoding the black box: LIME-assisted understanding of Convolutional Neural Network (CNN) in classification of social media tweets","Social Network Analysis and Mining","","18695450 (ISSN)","10.1007/s13278-024-01297-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198029775&doi=10.1007%2fs13278-024-01297-8&partnerID=40&md5=a5e3f0f8731490ec6505f9a0c5406455","The rise of social media has brought both opportunities and challenges to the digital age, including the proliferation of online trolls that have spread misinformation, hates, and disruptions. An automated classification system is crucial to mitigate the impact of trolls. This paper presents an innovative approach for classifying social media tweets into troll and non-troll categories using a machine learning (ML) approach and CNN. We also employed explainable artificial intelligence (XAI) to address the inherent opacity and complexity of the CNN model. This approach allowed us to provide a comprehensive explanation of the model’s behavior. We have achieved Accuracy = 91.45% with CNN2 model. The best results using ML methods were achieved by random forest classifier model, Accuracy = 86.57%. To enhance our trust in the CNN model, we leveraged the local interpretable model-agnostic explanation (LIME) technique within XAI. Algorithm correctly predicted troll tweets with a confidence of 93% and non-troll tweets with a confidence of 97%. This research lays the groundwork for better decision making in the ever-changing field of social media content analysis by bridging the gap between complex neural networks and insights that can be understood by humans. The transparency and reliability that LIME brings to public discussion are crucial tools for ensuring the responsible and efficient use of online content, as social media continues to influence public opinion. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2024.","2024","2024-12-01 10:11:26","2024-12-14 19:06:18","","","","1","14","","Soc. Netw. Analysis Min.","","","","","","","","English","","","Scopus","","","","Publisher: Springer","","","","Social media; Machine-learning; Complex networks; Social networking (online); Machine learning; Lime; Black boxes; Decision making; Neural network models; Convolutional neural network; Convolutional neural networks; Neural network model; Convolution; Social aspects; Local interpretable model-agnostic explanation; Automated classification systems; Convolutional Neural Networks (CNNs); Digital age; Forestry; Local interpretable model-agnostic explanations (LIME); Twitter tweet; Twitter tweets; manual_LIME; manual_CNN; manual_troll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P73J4HF5","journalArticle","2024","Kibriya, H.; Siddiqa, A.; Khan, W.Z.; Khan, M.K.","Towards safer online communities: Deep learning and explainable AI for hate speech detection and classification","Computers and Electrical Engineering","","00457906 (ISSN)","10.1016/j.compeleceng.2024.109153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186659253&doi=10.1016%2fj.compeleceng.2024.109153&partnerID=40&md5=97887a976a292f41a50b053f82ec1d40","The internet and social media facilitate widespread idea sharing but also contribute to cyber-crimes and harmful behaviors, notably the dissemination of abusive and hateful speech, which poses a significant threat to societal cohesion. Hence, prompt and accurate detection of such harmful content is crucial. To address this issue, our study introduces a fully automated end-to-end model for hate speech detection and classification using Natural Language Processing and Deep Learning techniques. The proposed architecture comprising embedding, Convolutional, bidirectional Recurrent Neural Network, and bidirectional Long Short Term Memory layers, achieved the highest accuracy of 98.5%. Additionally, we employ explainable AI techniques, such as SHapley Additive exPlanations (SHAP) and Local Interpretable Model-agnostic Explanations (LIME), to gain insights into the performance of the proposed framework. This comprehensive approach meets the pressing demand for swift and precise detection and categorization of harmful online content. © 2024 Elsevier Ltd","2024","2024-12-01 10:11:26","2024-12-14 21:18:50","","","","","116","","Comput Electr Eng","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","","","Social media; Learning systems; Machine-learning; Deep learning; On-line communities; Social networking (online); Machine learning; Explainable artificial intelligence; Lime; Multilayer neural networks; Natural language processing systems; Speech recognition; Explainable Artificial Intelligence; Recurrent neural networks; Speech classification; Hate speech; Speech detection; E-learning; Hate speech detection; Toxic comment; Toxic comments; manual_SHAP; manual_LSTM; manual_LIME; manual_hate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8MTP7A9","journalArticle","2025","Hashmi, E.; Yayilgan, S.Y.; Yamin, M.M.; Ullah, M.","Enhancing misogyny detection in bilingual texts using explainable AI and multilingual fine-tuned transformers","Complex and Intelligent Systems","","21994536 (ISSN)","10.1007/s40747-024-01655-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209140744&doi=10.1007%2fs40747-024-01655-1&partnerID=40&md5=da6b8a926aa53a4382f03e16f4732e6a","Gendered disinformation undermines women’s rights, democratic principles, and national security by worsening societal divisions through authoritarian regimes’ intentional weaponization of social media. Online misogyny represents a harmful societal issue, threatening to transform digital platforms into environments that are hostile and inhospitable to women. Despite the severity of this issue, efforts to persuade digital platforms to strengthen their protections against gendered disinformation are frequently ignored, highlighting the difficult task of countering online misogyny in the face of commercial interests. This growing concern underscores the need for effective measures to create safer online spaces, where respect and equality prevail, ensuring that women can participate fully and freely without the fear of harassment or discrimination. This study addresses the challenge of detecting misogynous content in bilingual (English and Italian) online communications. Utilizing FastText word embeddings and explainable artificial intelligence techniques, we introduce a model that enhances both the interpretability and accuracy in detecting misogynistic language. To conduct an in-depth analysis, we implemented a range of experiments encompassing classic machine learning methodologies and conventional deep learning approaches to the recent transformer-based models incorporating both language-specific and multilingual capabilities. This paper enhances the methodologies for detecting misogyny by incorporating incremental learning for cutting-edge datasets containing tweets and posts from different sources like Facebook, Twitter, and Reddit, with our proposed approach outperforming these datasets in metrics such as accuracy, F1-score, precision, and recall. This process involved refining hyperparameters, employing optimization techniques, and utilizing generative configurations. By implementing Local Interpretable Model-agnostic Explanations (LIME), we further elucidate the rationale behind the model’s predictions, enhancing understanding of its decision-making process. © The Author(s) 2024.","2025","2024-12-01 10:11:26","2024-12-14 19:19:00","","","","1","11","","Complex Intell. Syst.","","","","","","","","English","","","Scopus","","","","Publisher: Springer International Publishing","","","","Explainable AI; Deep Learning; Machine Learning; Transformers; FastText; Misogyny; manual_LIME; manual_ELECTRA; manual_misogyny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42FCKPDY","conferencePaper","2023","Yadav, S.; Kaushik, A.; McDaid, K.","Hate Speech is not Free Speech: Explainable Machine Learning for Hate Speech Detection in Code-Mixed Languages","Int Symp Technol Soc","979-835032486-0 (ISBN)","","10.1109/ISTAS57930.2023.10305996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178521180&doi=10.1109%2fISTAS57930.2023.10305996&partnerID=40&md5=b7709df970cc3c5e5027a085a0b91fb3","The increase in connectivity provided by social media platforms comes with several disadvantages. It has become surprisingly easy for ill-intentioned individuals to stalk, harass and threaten others online on the basis of race, gender, religion, etc. Artificial intelligence models provide a valuable solution to the problem by automatically filtering such content. However, research for hate speech detection in low-resource languages is still nascent. To promote research in the area, several shared tasks are held in various languages and attract contributions with novel approaches. In this study, we use the English and Hindi code-mixed datasets provided by the HASOC Identification of Conversational Hate-Speech in Code-Mixed Languages (ICHCL) shared task to train and evaluate machine learning models and compare the performance of different vectorization techniques and model parameters. The Explainable Artificial Intelligence (XAI) technique Local Interpretable Model Agnostic Explanation (LIME) is also applied to the model results to ascertain if the model is behaving in a coherent and logical manner. The highest accuracy achieved is 67.61 % using Bernoulli Naive Bayes with count vectorizer and TF-IDF. The analysis suggests that many of the models may be heavily influenced by the presence of slur words while classifying a statement as hateful and offensive.  © 2023 IEEE.","2023","2024-12-01 10:11:29","2024-12-14 20:12:00","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: Int Symp Technol Soc","","","","Machine-learning; Machine learning; Explainable artificial intelligence; Lime; LIME; Sentiment analysis; Speech recognition; machine learning; Internet of things; hate speech; Hate speech; Speech detection; explainable artificial intelligence; sentiment analysis; Free speech; Hinglish; Local interpretable model agnostic explanation; mix-code; Mix-code; word2vec; Word2vec; manual_LIME; manual_hate; manual_Naive_Bayes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Symposium on Technology and Society, Proceedings","","","","","","","","","","","","","","",""
"HTDVXI9X","journalArticle","2024","Pospelova, N.; Tarasova, A.; Subbotina, N.; Koroleva, N.; Raimova, N.; Lydia, E.L.","Explainable Artificial Intelligence and Natural Language Processing for Unraveling Deceptive Contents","Fusion: Practice and Applications","","27700070 (ISSN)","10.54216/FPA.140212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186230970&doi=10.54216%2fFPA.140212&partnerID=40&md5=8b01c7692f80f693419d4f236ad0ea88","Deceptive content recognition in social media employing artificial intelligence (AI) includes the use of sophisticated techniques and machine learning (ML) methods to recognize deceptive or wrong data shared on numerous platforms. AI methods analyse textual as well as multimedia content, investigative patterns, linguistic cues, and contextual info to flag latent cases of deception. As a result of the use of natural language processing (NLP) and computer vision (CV), these systems identify subtle nuances, misrepresentation strategies, and anomalies in user-generated content. This active technique permits social media platforms, organizations, and consumers to recognize and diminish the spread of deceptive content, donates to a more reliable online atmosphere, and aids in fighting tasks modelled by misinformation and false news. This study offers a novel sine cosine algorithm with deep learning-based deceptive content detection on social media (SCADL-DCDSM) technique. The SCADL-DCDSM technique incorporates the ensemble learning process with a hyperparameter tuning strategy for classifying the sentiments. Primarily, the SCADL-DCDSM technique pre-processes the input data to change the input data into a valuable format. Moreover, the SCADL-DCDSM algorithm follows the BERT model for the word embedding process. Moreover, the SCADL-DCDSM technique involves an ensemble of three models for sentiment classification such as long short-term memory (LSTM), extreme learning machine (ELM), and attention-based recurrent neural network (ARNN). Finally, SCA can be executed for better hyperparameter choice of the DL models. The SCADL-DCDSM system integrates the explainable artificial intelligence (XAI) system LIME has been employed for a comprehensive explainability and understanding of the black-box process, enhancing correct deceptive content recognition. The simulation result analysis of the SCADL-DCDSM algorithm has been examined on a benchmark database. The simulation outcome illustrated that the SCADL-DCDSM methodology achieves optimum solution than other approaches in terms of different measures. © 2024, American Scientific Publishing Group (ASPG). All rights reserved.","2024","2024-12-01 10:11:29","2024-12-14 19:41:09","","146-158","","2","14","","Fusion. Pract. Appl.","","","","","","","","English","","","Scopus","","","","Publisher: American Scientific Publishing Group (ASPG)","","","","Natural Language Processing; BERT; Explainable Artificial Intelligence; Social Media; Word Embedding; manual_BERT; manual_LSTM; manual_LIME; manual_fake_news","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
